Species Name,Eco-regions,Source,Scientific Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Canonical Name,Authorship,Status,Rank,Match Type,Basionym,Common Names
Kandelia candel,godavari krishna mangroves,ERA dataset,Kandelia candel (L.) Druce,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Kandelia,Kandelia candel,Kandelia candel,,ACCEPTED,SPECIES,EXACT,,"Cherukandal, Nallakandal, Narrow-leaved Kandelia"
Scyphiphora hydrophylacea,godavari krishna mangroves,ERA dataset,Scyphiphora hydrophylacea C.F.Gaertn.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Scyphiphora,Scyphiphora hydrophylacea,Scyphiphora hydrophylacea,,ACCEPTED,SPECIES,EXACT,,No common names found
Sonneratia alba,godavari krishna mangroves,ERA dataset,Sonneratia alba Sm.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Sonneratia,Sonneratia alba,Sonneratia alba,,ACCEPTED,SPECIES,EXACT,,"Sweet-scented Apple Mangrove, Nakshathrakandel"
Naringi crenulata,"orissa semi evergreen forests, godavari krishna mangroves",ERA dataset,Naringi crenulata (Roxb.) Nicolson,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Naringi,Naringi crenulata,Naringi crenulata,,ACCEPTED,SPECIES,EXACT,,"Cheriyakuttunaregam, Mahavilvam, Narinarakam, Kattunarakam, Okarikavela, Malanarakam, Vilathi, Serakuttunarakam, Naringi mul, Magavilvam, Mega Vilvam, Dadhiphala, Mahaa vilvam, Manmatham"
Ochna obtusata,godavari krishna mangroves,ERA dataset,Ochna obtusata DC.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Ochnaceae,Ochna,Ochna obtusata,Ochna obtusata,,ACCEPTED,SPECIES,EXACT,,"Silandhi, Sunari, Mickey Mouse Plant, Ramdhan Champa, रामधन चम्पा Ramdhan Champa, Kalkuruvi, Panjaram, Vaalugam, Ramatana Champaka, Serundhi, Erra Juvvi, Tammi, Sambarani, Padalakkonai, Kukkamovi, Kundhirikam, Golden Champak, Vellai kundhirikam, Chilanti, Kungiliyam"
Phyllanthus polyphyllus,godavari krishna mangroves,ERA dataset,"Phyllanthus polyphyllus B.Heyne ex Wall., 1847",Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus polyphyllus,Phyllanthus polyphyllus,,ACCEPTED,SPECIES,EXACT,,"Karuttunelli, Kilarannelli, Siru Nelli' (Meaning Small Amla), Sirunelli"
Pterolobium hexapetalum,godavari krishna mangroves,ERA dataset,Pterolobium hexapetalum (Roth) Santapau & Wagh,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pterolobium,Pterolobium hexapetalum,Pterolobium hexapetalum,,ACCEPTED,SPECIES,EXACT,,"Kokkichedi, Endam, Karu indu, Indian Redwing, Vaelipparuthi, Karu Indu, Bhoca"
Walsura trifoliata,godavari krishna mangroves,ERA dataset,Walsura trifoliata (A.Juss.) Harms,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Walsura,Walsura trifoliata,Walsura trifoliata,,ACCEPTED,SPECIES,EXACT,,No common names found
Wendlandia tinctoria,godavari krishna mangroves,ERA dataset,Wendlandia tinctoria (Roxb.) DC.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Wendlandia,Wendlandia tinctoria,Wendlandia tinctoria,,ACCEPTED,SPECIES,EXACT,,"Kara-kholi, Kadam"
Ziziphus mauritiana,"khathiar gir dry deciduous forests, godavari krishna mangroves",ERA dataset,Ziziphus mauritiana Lam.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Ziziphus mauritiana,Ziziphus mauritiana,,ACCEPTED,SPECIES,EXACT,,"Parinthudar, Badari, Common jujube, Kolam, Jujube tree, Bogori, Yelchi, Ber, Jujuba, Cherumali, Elanthai, Lanthapazham, Chinese date, Elanthai Maram, Elasi, Zuzuba (Eng.), Badaram, Ilanthai, Indian jujube, Thakri, Elentha, Bagari, Perimthudali, Yellande, Bogori (Ass.), Ilantha"
Pemphis acidula,godavari krishna mangroves,ERA dataset,Pemphis acidula J.R.Forst. & G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Pemphis,Pemphis acidula,Pemphis acidula,,ACCEPTED,SPECIES,EXACT,,No common names found
Rhizophora lamarckii,godavari krishna mangroves,ERA dataset,Rhizophora ×lamarckii Montrouz.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,Rhizophora lamarckii,Rhizophora lamarckii,,ACCEPTED,SPECIES,EXACT,,No common names found
Rhizophora annamalayana,godavari krishna mangroves,ERA dataset,Rhizophora ×annamalayana Kathiresan,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,Rhizophora annamalayana,Rhizophora annamalayana,,ACCEPTED,SPECIES,EXACT,,No common names found
True mangroves,indus river delta arabian sea mangroves,ERA dataset,,,,,,,,,,,,,,,No common names found
Avicennia alba,"indus river delta arabian sea mangroves, na","ERA dataset, A Trees dataset",Avicennia alba Blume,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Avicennia,Avicennia alba,Avicennia alba,,ACCEPTED,SPECIES,EXACT,,Tivar
Aeluropus lagopoides,"thar desert, indus river delta arabian sea mangroves","ERA dataset, A Trees dataset",Aeluropus lagopoides (L.) Thwaites,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Aeluropus,Aeluropus lagopoides,Aeluropus lagopoides,,ACCEPTED,SPECIES,EXACT,,No common names found
Arthrocnemum indicum,indus river delta arabian sea mangroves,ERA dataset,Amaranthaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,,,Amaranthaceae,,ACCEPTED,FAMILY,HIGHERRANK,,No common names found
Caesalpinia crista,indus river delta arabian sea mangroves,ERA dataset,Fabaceae,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,,,Fabaceae,,ACCEPTED,FAMILY,HIGHERRANK,,"Kakamullu, Manjapoovalli, Aattuparanda, Crested Fever Nut"
Canavalia gladiata,indus river delta arabian sea mangroves,ERA dataset,Canavalia gladiata (Jacq.) DC.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Canavalia,Canavalia gladiata,Canavalia gladiata,,ACCEPTED,SPECIES,EXACT,,"Jack Bean, Asisimbi, Sembi, Makhan Shim, Scimitar Bean, Vettukatthipayar, Valanga, Jamaican horse bean, Scimitar bean, Jack bean, Tamma, महासिम्बी Mahasimbi, Mahasimbi, তেবী Tebi, Common Swordbean, Segapputampattai, Kebithei, Tumbekonti, Tebi, Badi sem, Valpayar, Valamara, Sword bean, Broad bean, Jamaican Horse Bean, Patagonian bean, बड़ी सेम Badi Sem, Khadsampal, Valaringha, Sword Bean"
Cressa cretica,"indus river delta arabian sea mangroves, na","ERA dataset, A Trees dataset",Cressa cretica L.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cressa,Cressa cretica,Cressa cretica,,ACCEPTED,SPECIES,EXACT,,"Rudravanti, Azhukanni, Machul"
Derris trifoliata,indus river delta arabian sea mangroves,ERA dataset,Derris trifoliata Lour.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Derris,Derris trifoliata,Derris trifoliata,,ACCEPTED,SPECIES,EXACT,,"నల్ల తీగ Nalla Tiga, अङ्गार वल्ली Angaar Valli, পান লতা Panlata, Ponumvalli, फिर्ता Firta, Common Derris, Kelia, पान लता Panlata, Kammattivalli, करंज वेल Karanj Vel, అంగారవల్లి Angarvalli"
Ipomoea biloba,indus river delta arabian sea mangroves,ERA dataset,Ipomoea biloba Forssk.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea pes-caprae,Ipomoea biloba,,SYNONYM,SPECIES,EXACT,,No common names found
Porteresia coarctata,indus river delta arabian sea mangroves,ERA dataset,Porteresia coarctata (Roxb.) Tateoka,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza coarctata,Porteresia coarctata,,SYNONYM,SPECIES,EXACT,,No common names found
Salicornia brachiata,indus river delta arabian sea mangroves,ERA dataset,Salicornia brachiata Roxb.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Salicornia,Salicornia brachiata,Salicornia brachiata,,ACCEPTED,SPECIES,EXACT,,No common names found
Salvadora persica,"indus river delta arabian sea mangroves, khathiar gir dry deciduous forests",ERA dataset,Salvadora persica L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Salvadoraceae,Salvadora,Salvadora persica,Salvadora persica,,ACCEPTED,SPECIES,EXACT,,"Pilu, Ooga, Khakan, Kotungo, Toboto, પીલુડી Piludi, Mustard Tree, Perungoli, Kargoli, ಗೊನಿಮರ Gonimara, உகா Uka, मेस्वाक Meswak, Tooth Brush Tree, గున్నంగి Gunnangi, Salt Brush, Goni-mara, Chitthu vila, पिलु Pilu, गुडफल Gudaphala, Kalarva, Toothbrush Tree"
Sesuvium portulacastrum,"indus river delta arabian sea mangroves, na","ERA dataset, A Trees dataset",Sesuvium portulacastrum (L.) L.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium,Sesuvium portulacastrum,Sesuvium portulacastrum,,ACCEPTED,SPECIES,EXACT,,"వంగరేడుకూర Vangaredukura, வங்காரவச்சி Vankaravacci, धाप, Jadu Palang, Dhapa, Lunio, ஓர்பூடு Orputu, Daula Dhapa, Sea Purslane"
Suaeda fruticosa,indus river delta arabian sea mangroves,ERA dataset,Suaeda fruticosa Forssk. ex J.F.Gmel.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Suaeda,Suaeda fruticosa,Suaeda fruticosa,,ACCEPTED,SPECIES,EXACT,,No common names found
Thespesia populnea,indus river delta arabian sea mangroves,ERA dataset,Thespesia populnea (L.) Sol. ex Corrêa,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Thespesia,Thespesia populnea,Thespesia populnea,,ACCEPTED,SPECIES,EXACT,,"Puvarasu, Bhendi tree, Cheelanthi, Mangrove, ലാന്തി Cilaanthi, Large-leaved Tulip Tree, Porasu, Bon-kapahi, பூவரசு Puvarasu, Palaspipal, Bhendi Tree, Huvarasi, Poovarasu, Indian tulip tree, पिंपरी Pimpari, John-bull Tree, Gajadanda, Paras-pipul, Arasi, Pacific Rosewood, False rosewood, Umbrella Tree, Cork Tree, Portia Tree, പൃപ്പരുത്തി Prapparuththi, Umbrella tree, Bangali, Poresh, पिंपरणी Pimparani, પારસ પિપળૉ Paras Piplo, पार्श्वपिंपळ Parshvapimpal, గంగరావి Gangaravi, पारस भेंडी Paras-bhendi, Gajashundi, Milo (In Hawaii), Seaside Mahoe, पार्श्वपिप्पल Parshwapippal, പൃവരശ് Pravaras, Pooparutthi, आष्ट Aashta, Aden Apple, Bhendi, Seaside Mahoe (In Florida), Indian Tulip Tree, Portia tree, Bendy tree, पारोसा पिंपळ Parosa Pimpal, पारस पीपल Paras-pipal, King Of Flowers, Hulchi, आस Aas, Parash pipal"
Urochondra setulosa,indus river delta arabian sea mangroves,ERA dataset,Urochondra setulosa (Trin.) C.E.Hubb.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Urochondra,Urochondra setulosa,Urochondra setulosa,,ACCEPTED,SPECIES,EXACT,,No common names found
Volkameria inermis,indus river delta arabian sea mangroves,ERA dataset,Volkameria inermis L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Volkameria,Volkameria inermis,Volkameria inermis,,ACCEPTED,SPECIES,EXACT,,No common names found
Acacia chundra,"na, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Acacia chundra (Roxb. ex Rottler) Willd.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,Senegalia chundra,Acacia chundra,,SYNONYM,SPECIES,EXACT,,"Karingali, Kagalie, Cutch tree, Kaiger Kher, Red Ebony, Red Cutch, Red kutch, Kannali, Red Cutch Red Ebony, Karangali, Karangaali"
Acacia nilotica,"thar desert, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Acacia nilotica (L.) Willd. ex Delile,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia nilotica,Acacia nilotica,,SYNONYM,SPECIES,EXACT,,"Indian gum arabic tree, Babul, Thorn Mimosa, Black babul, Babool, Gum Arabic, Babul tree, Karivelam, Hindi, Egyptian Thorn Or Mimosa, Babul/Egyptian Thorn, Karuvelakam, Gum Arabic Tree, Black babool, Karu Vela, Kikar, Karuvelam, Kari jaali, Egyptian mimosa, Karivelum"
Aegle marmelos,"aravalli west thorn scrub forests, north deccan dry deciduous forests, lower gangetic plains moist deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Aegle marmelos (L.) Corrêa,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Aegle,Aegle marmelos,Aegle marmelos,,ACCEPTED,SPECIES,EXACT,,"మాలూరము Maluramu, शैलपत्रः Shailapatrah, दुर्हः Durah, ಬೇಲದ ಮರ Belada Mara, लक्ष्मीफलः Lakshmiphalah, बिल् Bil, Wood Apple, Mavilavu, सदाफल Sadaphal, श्रीफलः Sriphalah, Konkani, मङ्गल्यः Mangalyah, Bel, Koolakam, बेलपात Belpaat, स्कन्धफलः Skandhaphalah, Hindi, வில்வம் Vilvam, विल्व Vilva, शाण्डिल्यः Shandilyah, श्रीफल Sriphal, बिल्ब Bilb, बिल्व Bilva, कर्कोटकः Karkothakah, शैलूषः Shailushah, हृद्यगन्धः Hridyagandhah, मालूरम् Maluram, Bilvapatre, अमृतवः Amritavah, Pali, विल्वः Vilvah, बेलफल Belphal, बैल्वल्यम् Bailvalyam, Urdu, శ్రీఫలము Sri-phalamu, बेल्-पाति Bel-pati, শ্ৰীফল Sriphal, शल्यम् Shalyam, सत्यफलः Satyaphalah, बेलपत्ती Belpatti, শ্রীফল Sriphal, ब्यल् Bel, Bel-thei, बेल् Bel, Indian Bael, বেল Bel, കൂവളം Kuuvalam, Nepalese, Malayalam, બીલી Bili, Kannada, Koovalam, ত্ৰিপত্ৰ Tripatra, Sanskrit, मालूरः Malurah, Persian, Stone Apple, Manipuri, बिल्वः Bilvah, Bengal quince, হৈৰীখগোক Heirikhagok, शिवद्रुमः Shivadrumah, शिलूष Shilusha, बिल्ल Billa, Bael, विल्लव Villav, बिल्वल्वम् Bilvalvam, बेलपत्तर Belpattar, Mizo, బిల్వము Bilvamu, ਬਿਲੱ Bill, Golden-apple, Assamese, श्रीफलम् Sriphalam, Vilvam, శాండిల్యము Sandilyamu, Bil Ba, శైలూషము Sailusamu, Telugu, बेल Bel, شل Shil, शलाटुः Shalatuh, Tamil, Bell (Ass.), بيل Bel, बील Bil, विल्लौ Villau, बेलुव Beluva, Punjabi, Oriya, बेलपथर् Belpathar, Marathi, Gujarati, सुभद्रकः Subhadrakah, श्रीफळ Sriphal, महाकपित्थः Mahakapittah, श्री Sri, Bengali, महाबन्धुः Mahabanduh, Bael tree, بلب Bilb, Bengal-quince, Kashmiri, Holy fruit tree, Stone apple, मालूर Malur, सर्वसिद्धी Sarvasiddhi, Bel tree, पत्रम्श्रेष्ठः Patramshreshtah, महत्फलः Mahatphalah, Tibetan, கூவிரம் Kuviram, प्राचीनपनसः Prachinapanasah, समीरसारः Samirsaarah, वीरतरुः Virataruh, మారేడు Maredu"
Albizia lebbeck,"orissa semi evergreen forests, lower gangetic plains moist deciduous forests, khathiar gir dry deciduous forests",ERA dataset,Albizia lebbeck (L.) Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia lebbeck,Albizia lebbeck,,ACCEPTED,SPECIES,EXACT,,"Siris tree, Siris, Raom tree, Kattuvaka, East Indian Walnut, Kothiya-koroi, Black Siris, East India Walnut, Vaagai, Karivaka, Nenmenivaka, Soros-tree, Siris Tree, Frywood, Saras सरस (Hindi), East India walnut, Kalshish, Sirin, Tantia, Karimthakara, Sirish, சிரிடம் Siridam (Tamil), Tinia (Urdu), Lebbek tree, Womans tongue, Vaga, Baage, Vaga (Malayalam), Khok (Manipuri), Vaka, Vagai, Woman's Tongue, Lebbek Tree"
Anogeissus pendula,"aravalli west thorn scrub forests, na, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Anogeissus pendula Edgew.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia pendula,Anogeissus pendula,,SYNONYM,SPECIES,EXACT,,"Dhok or Dhonk, Dhonkda (in Rajasthan)"
Dalbergia latifolia,"north deccan dry deciduous forests, south western ghats moist deciduous forests, na, malabar coast moist forests, north western ghats moist deciduous forests, south deccan plateau dry deciduous forests, central deccan plateau dry deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Dalbergia latifolia Roxb.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,Dalbergia latifolia,Dalbergia latifolia,,ACCEPTED,SPECIES,EXACT,,"Beete, East Indian rosewood, Cholaveetti, Indian rosewood, East Indian Rose Wood, Veeti, Kariveeti, Illvadi, Bombay blackwood, Thodagathi, Eeti, Tawadi, Indonesia rosewood, Malabar rosewood, Eravad, Rosewood, Sitsal, Thodhagathi, Beeti, Shisham, Black Rosewood"
Ehretia laevis,khathiar gir dry deciduous forests,ERA dataset,Ehretia laevis (Rottler ex G.Don) Roxb.,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Ehretia,Ehretia laevis,Ehretia laevis,,ACCEPTED,SPECIES,EXACT,,"Harandi, Paldattam, Chamrod, Datrang, Kalvirasu, Chamror"
Ficus glomerata,"south deccan plateau dry deciduous forests, malabar coast moist forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset","Ficus glomerata hort. ex Miq., 1867",Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus glomerata,Ficus glomerata,,ACCEPTED,SPECIES,EXACT,,No common names found
Holoptelea integrifolia,"south western ghats moist deciduous forests, na, north western ghats moist deciduous forests, narmada valley dry deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Holoptelea integrifolia (Roxb.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Holoptelea,Holoptelea integrifolia,Holoptelea integrifolia,,ACCEPTED,SPECIES,EXACT,,"Aval, Jungle cork tree, Aiya, Aavimaram, Aavel, ऐनसादडा Ainasadada, Tambachi, Ayil, Njettaval, Papdi, Njetavil, ஆயா Aya, Wavli, कान्जू Kanju, पपड़ी Papri, चिरिविल्वः Chirivilva, Sano Pangro, নাটা করঞ্জা Nata Karanja, Entire-leaved Elm Tree, South Indian Elm Tree, Thavasa, Avelkurunnu, Aya, ચરેલ Charel, Indian Elm, Aavil, Tapsi, Papri, ચરલ Charal, Kanju, Thavasai, నాలి Nali, Jungle Cork Tree, ആവല്‍ Aaval, Aayee maram, કણઝો Kanjho, वांवळो Vamvlo, चिलबिल Chilbil, वावळ Or वावळा Vavala, Dhauranjan"
Kydia calycina,"north deccan dry deciduous forests, narmada valley dry deciduous forests, khathiar gir dry deciduous forests",ERA dataset,Kydia calycina Roxb.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Kydia,Kydia calycina,Kydia calycina,,ACCEPTED,SPECIES,EXACT,,"Pula, பூலா Pula, పోతరి Potari, কুকুহা Kukuha, Vellukku, Bhoti, Bankopasia, পিছোলা Pichhola, Velluku venta, वारंग Warang, पुलिया Pulia, Kapasia, Khabi, ಬೆಮ್ದೆ Bende, वरंग Or वारंग Warang, വീമ്പ് Viimp, Vattakannu, Kukuha, रान भेंडी Ranbhendi, Bon-kopahi, Roxburgh's Kydia, Kydia, Vellukkuventa, Illya, મોટી હીરવણી Moti Hirwani, Bendai, Pichola, Kubinde, पुला Pula, കാട്ടാവണക്ക് വെളളടച്ചി Kaattaavanakk Velalatacci, 翅果麻 Chi Guo Ma, पट्ठा Pattha, পোলা Pola, Vellachadachi"
Miliusa tomentosa,"malabar coast moist forests, north western ghats moist deciduous forests, narmada valley dry deciduous forests, khathiar gir dry deciduous forests",ERA dataset,Miliusa tomentosa (Roxb.) J.Sinclair,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Miliusa,Miliusa tomentosa,Miliusa tomentosa,,ACCEPTED,SPECIES,EXACT,,"Budda-dudduca, Hoom, Humb, Kothu kalaa, Pedda chiluka dudduga, Umbh, Kaithamavu, Kari-hessare, Thoska, Perivuvav, Thavidi, Dom-Sal, Kari, Kanakaitha, Minmara, Gonthipolato, Kirua, Hessare, Heccara, Kaladri"
Mitragyna parvifolia,"north deccan dry deciduous forests, narmada valley dry deciduous forests, north western ghats moist deciduous forests, khathiar gir dry deciduous forests",ERA dataset,Mitragyna parvifolia (Roxb.) Korth.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mitragyna,Mitragyna parvifolia,Mitragyna parvifolia,,ACCEPTED,SPECIES,EXACT,,"കതമമരം Kathamamaram, Sirikadamba, ఋష్య Rsya, പൂച്ചക്കടമ്പ് Puuccakkatamp, റോസ് കടമ്പ് Roos Katamp, Nayekadambe, తధిద్రుమ Tadhidruma., Kadambamaram, Vimba, Neer kadambu, गुरी Guri, Kongu, Poochakadambu, అంబుసారము Ambusaramu, Rose Kadambu, ನೀರ ಕದಮ್ಬ Nira Kadamba, ধারাকদম্ব Dharakadam, നീര്‍ക്കടമ്പ് Niirkkatamp, Neer Kadambai, Chinna Kadamb, ಸಣ್ಣ ಕದಮ್ಬ Sanna Kadamba, Veembu, జలతుంబురు Jalatumburu, Boodha kadambu, Nir-kadambai, വീമ്പ് Viimp, நீர்க்கடம்பு Nirkkatampu, Kadambu, Kadamamaram, कळम Kalam, நிசுளம் Niculam, Kadam, Kaim, Patta kadambu, Water Kadamba, అజఘ్నము Ajaghnamu, કલમ Kalam, Kadamba, Chinna kadambu, Sirakadambu, গুলিকদম্ব Gulikadam, నిరుకడము Nirkadambu, वितानः Vitanah, Neerkadambu, Nichulam, कैम Kaim, Neerkadambai Ilukki"
Sapindus emarginatus,khathiar gir dry deciduous forests,ERA dataset,Sapindus emarginatus Vahl,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus,Sapindus emarginatus,Sapindus emarginatus,,ACCEPTED,SPECIES,EXACT,,"Urvanjik-kaya, Pachakotta, Soppinkaimaram, Punnan-kotta, Kukudu-kayalu, Ritha, Kudale-kaye, Aritha, Uravanchi, Notched Leaf Soapnut, रीठा Reetha, Kungititkaya, Chavakayimaram, Uruangi, Rimgi, Urungi, Soapnut tree, Arishtaphalam, Poovandikottai, Kunkudu-chettu, Phenila, Chuvappukamaram, Kukate-kayi, Kookatakayi, Aristam, Manipungan Maram, Chuvappukkamaram, Ponnankottai, Arishta, Rimthi, Pasakottamaram, Soapumka"
Tecomella undulata,"na, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Tecomella undulata (Sm.) Seem.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tecomella,Tecomella undulata,Tecomella undulata,,ACCEPTED,SPECIES,EXACT,,"Rakhtroda, Marwar Teak, Raktarohida, Desert Teak, रोहेड़ा Roheda, Rohida, Honey Tree, Chalachhada, Dadimacchada, Dadimapuspaka, Roheda"
Terminalia crenulata,"south western ghats moist deciduous forests, himalayan subtropical broadleaved forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Terminalia crenulata (B.Heyne) Roth,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia elliptica,Terminalia crenulata,,SYNONYM,SPECIES,EXACT,,"Asna, Karumarudu, Karuppumarudu, Karumathi, Aina, Kauha, Karimarutu, Sadala, Tani., Asana, Black Murdah, Asaina, Chagakarnah, Ain, Laurel, Karu Maruthu, Thembava, 'nallamaddi, Tempavu"
Vitex negundo,"narmada valley dry deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Vitex negundo L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Vitex,Vitex negundo,Vitex negundo,,ACCEPTED,SPECIES,EXACT,,"Vellanochi, Nirkkundi, Vennochi, A giachit, Common Chaste Tree, निर्गुंडी Nirgundi, Vavili, Indrani, Sambhalu, Vellanocchi, Nishunda, Man Ching, Karunochi, Nishida, Posotia, Gattilier Incise, Aggla-chita, Sinduvaaramu, Huang Ping, Pasutia, Nilanirgundi, Karinochi, Pasotia, सिंदवार Sindvar, Samalu, Nirgundi, Pachatia, Aglachitto, Chaste tree, Negundo Chastetree, Vennocchi, Nigad, Karru Nochi, Hing-rain, Nallanochi, Huang Ching, Nocchi, Karilakki, Chaste Tree, Negundo, Loki/Neviladi, Urik Shibi, Lakkigida, Nochi, Five leaved chaste tree, Nallanocchi, Five-leaved Chaste Tree, Nalla Nochi, Thella vaavili, Lenggundi"
Ziziphus xylopyros,khathiar gir dry deciduous forests,ERA dataset,Ziziphus xylopyrus (Retz.) Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Ziziphus xylopyrus,Ziziphus xylopyrus,,ACCEPTED,SPECIES,FUZZY,,No common names found
Acrocarpus fraxinifolius,lower gangetic plains moist deciduous forests,ERA dataset,Acrocarpus fraxinifolius Wight & Arn.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acrocarpus,Acrocarpus fraxinifolius,Acrocarpus fraxinifolius,,ACCEPTED,SPECIES,EXACT,,"Houtige Mara., Narivenga, Karingodi, Kurangadi, Mallekone, Mallam Konnai, Kalingi, Malai kondrai, Belanji, Mallaykone, Malaveppa, Havulagi, Hantige, Cegappuyagil, Malamkonnai, Nelrai., Shegappuagili, Nellara, Karangan., Karangan, Houlige, Pink Cedar"
Aglaia lawii,lower gangetic plains moist deciduous forests,ERA dataset,Aglaia lawii (Wight) C.J.Saldanha,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,Aglaia lawii,Aglaia lawii,,ACCEPTED,SPECIES,EXACT,,"Telya, Karakil, Vellacheeralam"
Aglaia spectabilis,lower gangetic plains moist deciduous forests,ERA dataset,Aglaia spectabilis (Miq.) S.S.Jain & Bennet,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,Aglaia spectabilis,Aglaia spectabilis,,ACCEPTED,SPECIES,EXACT,,Amari
Ailanthus integrifolia,lower gangetic plains moist deciduous forests,ERA dataset,Ailanthus integrifolia Lam. ex Steud.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,Ailanthus integrifolia,Ailanthus integrifolia,,ACCEPTED,SPECIES,EXACT,,"Saragphula, Koronga, Ring, Borpat, Diang-ehao, Borkesutu, Actaluca"
Alangium chinense,lower gangetic plains moist deciduous forests,ERA dataset,Alangium chinense (Lour.) Harms,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Alangium,Alangium chinense,Alangium chinense,,ACCEPTED,SPECIES,EXACT,,"Bhalu paile, Chinese Alangium, Sika-moroliya/ Boga-amruliya/ Bogalmoni/ Maroli-goch"
